,Section(Russian),Section(English),Question(Russian),Question(English),Options(Russian),Option(English),Answer,Solution(Russian),Solution(English)
1,Алгебра,Algebra,Каким числом оканчавается выражение 9^121,What is the number that ends the expression 9^121,A) 1 B) 7 C) 3 D) 9 E) 5,A) 1 B) 7 C) 3 D) 9 E) 5,D,"Начнем с того, что 9^1 = 9, 9^2 = 81, 9^3 = 729, 9^4 = 6561, 9^5 = 59049 и т.д.
 Таким образом, мы можем заметить, что последняя цифра степени 9 меняется через каждые две степени. Обратите внимание, все нечетные степени оканчиваются на 9, а четные на 1. Таким образом, 9^121 оканчивается на 9.
 Ответ: 9","Let's start with the fact that 9^1 = 9, 9^2 = 81, 9^3 = 729, 9^4 = 6561, 9^5 = 59049, etc.
 Thus, we can notice that the last digit of the power of 9 changes every two powers. Note that all odd powers end with 9, and even powers end with 1. Thus, 9^121 ends in 9.
 Answer: 9"
2,Логика,Logic,Какое число соответсвует вопросительному знаку: 3 5 15 17 51 ?,What number corresponds to the question mark: 3 5 15 17 51 ?,A) 155 B) 75 C) 53 D) 99 E) 57,A) 155 B) 75 C) 53 D) 99 E) 57,C,"Закономерность данного ряда следующая: к первому числу прибавляется 2, а второе число умножается на 3, к третьему опять прибавляется 2, а четвертое умножается на 3 и т.д. Таким образом, найдем следующее число:
 3 + 2 = 5, 5 * 3 = 15, 15 + 2 = 17, 17 * 3 = 51, 51 + 2 = 53.
 Ответ: 53.","The pattern of this series is as follows: 2 is added to the first number, and the second number is multiplied by 3, 2 is added to the third again, and the fourth is multiplied by 3, etc. Thus, we find the next number:
 3 + 2 = 5, 5 * 3 = 15, 15 + 2 = 17, 17 * 3 = 51, 51 + 2 = 53.
 Answer: 53."
3,Логика,Logic,Какое число должно быть вместо вопросительного знака? 16(36)10 14(?)9,What number should be in place of the question mark? 16(36)10 14(?)9,A) 15 B) 25 C) 33 D) 45 E) 43,A) 15 B) 25 C) 33 D) 45 E) 43,B,"Для выполнения данного задания необходимо дописать число вместо вопросительного знака в числовом ряде. Рассмотрим закономерность для первого ряда чисел:
 16 (36) 10 –> 16 – 10 = 6 -> 6 * 6 = 36
 Аналогичная операция для второго ряда чисел:
 14 (?) 9 -> 14 – 9 = 5 -> 5 * 5 = 25
 Ответ: 25","To complete this task, we need to add a number instead of the question mark in the numerical series. Let's look at the pattern for the first series of numbers:
 16 (36) 10 -> 16 - 10 = 6 -> 6 * 6 = 36
 A similar operation for the second series of numbers:
 14 (?) 9 -> 14 - 9 = 5 -> 5 * 5 = 25
 Answer: 25"
4,Алгебра,Algebra,"Среднее арифметическое шести чисел равно 70, а среднее других четырех чисел равно 100. Все десять чисел сложили. Чему равно их среднее арифметическое?",The Algebra mean of six numbers is 70 and the mean of the other four numbers is 100. All ten numbers are added together. What is their Algebra mean?,A) 85 B) 82 C) 17 D) 14 E) 36,A) 85 B) 82 C) 17 D) 14 E) 36,B,"Пусть сумма шести чисел равна S1, а сумма четырех других чисел равна S2.
 Тогда по определению среднего арифметического:
 S1 / 6 = 70, S1 = 420
 S2 / 4 = 100, S2 = 400
 Сумма всех десяти чисел равна S1 + S2. Чтобы найти их среднее арифметическое, нужно разделить эту сумму на 10:
 (S1 + S2) / 10 = (420 + 400)/10 = 82
 Ответ: 82","Let's denote the sum of six numbers as S1, and the sum of four others as S2.
 By definition of the Algebra mean:
 S1 / 6 = 70, S1 = 420
 S2 / 4 = 100, S2 = 400
 The sum of all ten numbers is S1 + S2. To find their Algebra mean, divide this sum by 10:
 (S1 + S2) / 10 = (420 + 400)/10 = 82
 Answer: 82"
5,Логика,Logic,"Замените буквы цифрами так, чтобы результат сложения соответствовал действительности, учитывая при этом, что одинаковые буквы соответствуют одинаковым цифрам и каждая буква соответствует какой-либо цифре. Выберите верное утверждение: УДАР+УДАР=ДРАКА","Replace the letters with digits so that the result of addition corresponds to reality, taking into account that identical letters correspond to identical digits and each letter corresponds to a digit. Choose the correct statement: УДАР+УДАР=ДРАКА",A) произведение различных цифр кратно 120 B) произведение различных цифр кратно 200 C) произведение различных цифр кратно 100 D) произведение различных цифр кратно 175 E) произведение различных цифр кратно 125,A) the product of different digits is a multiple of 120 B) the product of different digits is a multiple of 200 C) the product of different digits is a multiple of 100 D) the product of different digits is a multiple of 175 E) the product of different digits is a multiple of 125,A,"Слагаемые - числа четырёхзначные, а сумма - число пятизначное. В старший разряд при сложении двух чисел может перейти только 1. Поэтому, Д = 1, У1АР+У1АР=1РАКА. 
 
 Следовательно, сумма двух 1 может быть равна 2 либо 3 (если был перенос из младшего разряда), что соответствует букву А. Но сумма двух одинаковых чисел Р+Р может быть только чётной цифрой, поэтому А = 2, У12Р+У12Р=1Р2К2. 
 
 Сумма двух Р равна 2 либо 12, т.е. буква Р может быть равна 1 или 6. Но так как Д = 1, то Р = 6. У126+У126=162К2. С учётом переноса из младшего разряда К = 2 + 2 +1 = 5 и У126+У126=16252. Из выражения понятно, что У + У = 16, поэтому У = 8. Следовательно итоговое выражение будет иметь такой вид: 8126+8126=16252. Произведение различных цифр 16252 кратно 120. 
 Ответ: произведение различных цифр кратно 120","The addends are four-digit numbers, and the sum is a five-digit number. When we add two numbers, only 1 can move to the most significant digit. Therefore, D = 1, У1АР+У1АР=1РАКА.
 
 Consequently, the sum of two 1's can equal 2 or 3 (if there was a carry from the least significant digit), corresponding to the letter A. But the sum of two identical numbers Р+Р can only be an even digit, therefore A = 2, У12Р+У12Р=1Р2К2.
 
 The sum of two Р's equals 2 or 12, i.e. the letter Р can equal 1 or 6. But since D = 1, then Р = 6. У126+У126=162К2. Taking into account the carry from the least significant digit, K = 2 + 2 +1 = 5 and У126+У126=16252. From the expression, it is clear that Y + Y = 16 and Y = 8. Therefore, the final expression will look as follows: 8126 + 8126 = 16252. The product of different digits 16252 is a multiple of 120.
 Answer: the product of different digits is a multiple of 120"
6,Алгебра,Algebra,"Сначала цену на товар повысили на 50%, а затем новую цену пониизили на 50%. На сколько % изменилась первоначальная цена товара?","First, the price of a product was raised by 50% and then the new price was lowered by 50%. By how many % did the original price of the good change?",A) 20% B) 15% C) 25% D) 35% E) 30%,A) 20% B) 15% C) 25% D) 35% E) 30%,C,"Предположим, что первоначальная цена товара была 100 тенге. 50% от 100 тг = 100 * 50/100 = 50 тенге, поэтому после повышения цена стала 100 + 50 = 150 тенге. Затем цену понизили на 50%, что означает, что сумма снижения цены составляет 50% от 150 тенге, то есть 75 тенге. Таким образом, новая цена составляет 150 - 75 = 75 тенге. Сравнивая новую цену (75 тенге) и первоначальную цену (100 тенге), можно увидеть, что цена уменьшилась на 25 тенге. Это составляет 25% от первоначальной цены, так что правильный ответ 25%.
 Ответ: 25%","Let's assume that the original price of the product was 100 tenge. 50% of 100 tenge = 100 * 50/100 = 50 tenge, so after the increase, the price became 100 + 50 = 150 tenge. Then the price was reduced by 50%, which means that the amount of the price reduction is 50% of 150 tenge, that is, 75 tenge. Thus, the new price is 150 - 75 = 75 tenge. Comparing the new price (75 tenge) and the original price (100 tenge), you can see that the price has decreased by 25 rubles. This is 25% of the original price, so the correct answer is 25%. 
 Answer: 25%"
7,Алгебра,Algebra,Ерлан за месяц проехал 6000 км. Стоимость 1 литра бензина - 125 тенге. Средний расход бензина на 100 км составляет 8 литров. Сколько тенге потратил Ерлан на бензин за этот месяц?,Yerlan has traveled 6000 km in a month. The cost of 1 liter of gasoline is 125 tenge. The average consumption of gasoline per 100 km is 8 liters. How many tenge did Erlan spend on gasoline during this month?,A) 48000 тенге B) 42000 тенге C) 75000 тенге D) 60000 тенге E) 56000 тенге,A) 48000 tenge B) 42000 tenge C) 75000 tenge D) 60000 tenge E) 56000 tenge,D,"Решение:
 Сначала найдем, сколько литров бензина потребовалось Ерлану на весь путь. Средний расход бензина на 1 км составляет 8/100 л бензина. Значит за 6000 км расходуется 6000*8/100 = 480 л бензина. Стоимость 480 л бензина = 480 л * 125 тенге = 60000 тенге. 
 Ответ: 60000 тенге","Solution:
 First, let's find out how many litres of gasoline Erlan needed for the entire journey. The average gasoline consumption per 1 km is 8/100 litres of gasoline. This means that 6000 * 8/100 = 480 litres of gasoline are consumed over 6000 km. The cost of 480 litres of gasoline = 480 litres * 125 tenge = 60000 tenge.
 Answer: 60000 tenge"
8,Алгебра,Algebra,Какой цифрой заканчивается произведение 2*3*5*7*9*11*13*17*19*21*23?,What digit does the product 2*3*5*7*9*9*11*13*13*17*19*21*23 end with?,A) 5 B) 4 C) 2 D) 0 E) 7,A) 5 B) 4 C) 2 D) 0 E) 7,D,"В произведении есть числа 2 и 5, а как известно, 2 * 5 = 10. Тогда это произведение делится на 10, поэтому значение данного выражения оканчивается цифрой 0.
 Ответ: 0","The product contains the numbers 2 and 5, and as we know, 2 * 5 = 10. Then the given product in the problem is divisible by 10, so the value of this expression ends with the number 0.
 Answer: 0"
9,Алгебра,Algebra,В пачке 500 листов бумаги формата А4. За неделю в офисе расходуется 1850 листов. Какое наименьшее количество пачек бумаги нужно купить в офис на 5 недель?,There are 500 sheets of A4 paper in a pack. The office uses 1850 sheets per week. What is the smallest number of reams of paper to buy for the office for 5 weeks?,A) 19 B) 20 C) 14 D) 17 E) 18,A) 19 B) 20 C) 14 D) 17 E) 18,A,"За пять недель расходуется 1850*5=9250 листов бумаги. Значит потребуется 9250/500 = 18,5 ~ 19 пачек бумаги. 
 Ответ: 19","For five weeks, 1850*5=9250 sheets of paper were used. This means that 9250/500 = 18.5 ~ 19 reams of paper will be needed.
 Answer: 19"
10,Алгебра,Algebra,Одна четверть от 5 часов и 20 минут равна,One quarter of 5 hours and 20 minutes equals,A) 1 час 40 мин B) 1 час 15 мин C) 1 час 35 мин D) 1 час 20 мин E) 1 час 25 мин,A) 1 hour 40 min B) 1 hour 15 min C) 1 hour 35 min D) 1 hour 20 min E) 1 hour 25 min,D,"1 час = 60 мин, 
 5 ч 20 мин можно записать как (5*60+20) мин = 320 мин
 1 четверть от полученного числа: 320 мин*(1/4) = 80 мин= (60+20) мин = 1 час 20 мин
 Ответ: 1 час 20 мин","1 hour = 60 min,
 5 hours 20 minutes can be written as (5*60+20) min = 320 min
 1 quarter of the resulting number: 320 min*(1/4) = 80 min= (60+20) min = 1 hour 20 min
 Answer: 1 hour 20 min"
